[2025-12-22 23:20:33] [INFO    ] discord.client: logging in using static token
[2025-12-22 23:20:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-12-22 23:20:33] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-12-22 23:20:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1406366965580431481', 'username': 'Crypto_Market_Analyzer', 'avatar': None, 'discriminator': '2976', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-12-22 23:20:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-12-22 23:20:34] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-12-22 23:20:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1406366965580431481', 'name': 'Crypto_Market_Analyzer', 'icon': None, 'description': 'I provide information on Crypto-Currency market. I will send announcement about trends in the Crypto-Market, serve as a coin-lookup, and will provide information on user-inputted investment amounts for any particular coin over a projected time frame. ', 'type': None, 'bot': {'id': '1406366965580431481', 'username': 'Crypto_Market_Analyzer', 'avatar': None, 'discriminator': '2976', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '1912bcd0c93418279a271cdff5e30dec50d5c361bc40540078ac7fd74849dfd9', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '353692175256780800', 'username': 'memorex7668', 'avatar': 'f486a11c866feefc022395cde19e9e08', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 65514, 'global_name': 'memorex', 'avatar_decoration_data': {'asset': 'a_c12a5c953352c20bd6e63576e2cce3a0', 'sku_id': '1440174638930853956', 'expires_at': 1768507200}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#00ffea', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-12-22 23:20:34] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-12-22 23:20:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-vg7b",{"micros":0.0}]']}}
[2025-12-22 23:20:34] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-12-22 23:20:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
